Model,Cluster_1_Window,Cluster_2_Window,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Train Sharpe,Valid Sharpe,Test Sharpe,Train CAGR,Valid CAGR,Test CAGR,Train MaxDD,Valid MaxDD,Test MaxDD
CL1_60_CL2_60,60,60,0.1231614872907516,0.12681287475499223,0.9712064924693549,-0.23090861992780454,0.5333776076841958,1.1829831173671084,0.3118482561206768,1.0445015827559,0.15207955581650578,0.03365907328034767,0.13981743051423967,-0.1505686319299483,-0.2027255381288401,-0.23090861992780476
CL1_60_CL2_120,60,120,0.11973837215960281,0.12389302023796633,0.966465842301822,-0.23090861992780454,0.5185530630993334,1.1261740481746858,0.2797461087018704,1.1314939880754098,0.1490249463460489,0.030821498729532326,0.13558935315901222,-0.10775011216729347,-0.21815612238256765,-0.23090861992780476
CL1_60_CL2_180,60,180,0.12187394202024526,0.12331733814711993,0.9882952701658816,-0.23747507403889867,0.5132073019178517,1.306639952823362,0.13335255172325458,1.069272556361609,0.16528832601927124,0.015238978026332228,0.13145685104273652,-0.09088246839068315,-0.22486386667188518,-0.23747507403889823
CL1_60_CL2_252,60,252,0.12076421703011864,0.12258920144699413,0.9851130083617962,-0.227819001027463,0.530088431980969,1.2468920635428897,0.16565206175755878,1.0661619690273796,0.15854199661931512,0.016434107092585082,0.13575778801477023,-0.09706381581868406,-0.19861935112476325,-0.2278190010274631
CL1_120_CL2_60,120,60,0.10861321680041858,0.1269118357140163,0.8558162931719631,-0.2448195985827062,0.4436459230764007,1.1297640925336647,0.501996782949061,0.7090645142466354,0.14437675470436906,0.0575709161614637,0.09408087318083624,-0.16776314605620546,-0.19099682266758655,-0.2448195985827062
CL1_120_CL2_120,120,120,0.12412236877031924,0.12858403364010754,0.9653015639385213,-0.24481959858270652,0.5069952303201225,1.1328963892510282,0.6131730133812431,0.9286283989564305,0.15498934576752355,0.0698003449355653,0.11733283496920155,-0.15798156113459028,-0.17145004179076373,-0.2448195985827063
CL1_120_CL2_180,120,180,0.11381882066164972,0.12701015202430682,0.8961395514263097,-0.24784119539030836,0.459240928379175,1.0717619104981755,0.32412561679915386,0.9828300119348418,0.1360852477242127,0.037774245988466904,0.13047370203948017,-0.11987949372878803,-0.2036619245700132,-0.24784119539030858
CL1_120_CL2_252,120,252,0.11933553772171734,0.12609289209823363,0.9464097122044602,-0.2542607513092967,0.46934313340619,1.2703356247642583,0.13424592792975976,1.0114877688159192,0.15808506017981472,0.01596138640654443,0.1325548694452261,-0.10273286524249492,-0.2542607513092968,-0.2448195985827062
CL1_180_CL2_60,180,60,0.07714895463592963,0.12885717646734618,0.5987167866857616,-0.2907645757059758,0.26533134047919055,0.5600803922240484,0.39719362338019754,0.7487815461222427,0.07672598291434429,0.043548033443389755,0.09690707973075696,-0.2907645757059758,-0.13865920082595662,-0.22804749585055384
CL1_180_CL2_120,180,120,0.10563812477302781,0.12270995624491521,0.860876558069877,-0.22592079573098567,0.4675892028054646,0.7939147123152173,0.48599108645421607,1.1597946316022318,0.10457961062061649,0.05347788365592221,0.13722020246630673,-0.16350035286210451,-0.13042132767979886,-0.22592079573098545
CL1_180_CL2_180,180,180,0.11486554100556257,0.12153405752068476,0.9451304708230676,-0.2387013096787094,0.4812103509619236,0.8669304441202953,0.6178932436682217,1.2250221417790796,0.1086689385724402,0.07156590816844721,0.14772064990701583,-0.11534544517378753,-0.1436572383401562,-0.23870130967870917
CL1_180_CL2_252,180,252,0.13458493574230102,0.12070551832904439,1.1149857736861806,-0.22592079573098567,0.5957173411453345,1.1672415710938346,0.5741296258544925,1.3356985279833025,0.14384502480639627,0.0634942854155931,0.16447340398817478,-0.10881531932008426,-0.1331598983531025,-0.22592079573098567
CL1_252_CL2_60,252,60,0.08707125398405702,0.1305538074950177,0.66693768381577,-0.3042801094755243,0.28615493182955115,0.5360960491321805,0.4188712145501274,0.9588233959115351,0.07483441287279557,0.041638453280294696,0.12907673325720936,-0.3042801094755243,-0.13252345036209567,-0.22592079573098567
CL1_252_CL2_120,252,120,0.09214177318222716,0.12350845811115968,0.7460361386691268,-0.22592079573098556,0.4078498966157355,0.8425695769595144,0.5206058794694781,0.7331460142407774,0.10763848012880972,0.05436737670698144,0.09445556996063575,-0.2152442350984286,-0.12422689482909843,-0.22592079573098578
CL1_252_CL2_180,252,180,0.10741518677095341,0.1269175691716736,0.8463381978712458,-0.2403281254762697,0.4469522098509428,0.8525476450679301,0.38050723841995415,1.0741313259796725,0.11050236721590023,0.0426815628161521,0.14131752737499248,-0.2403281254762697,-0.13737356687987168,-0.22592079573098545
CL1_252_CL2_252,252,252,0.12377968694945651,0.12745771289967228,0.9711431668861742,-0.22592079573098556,0.5478897440536938,1.084243297864895,0.24355639267745147,1.1977802040678547,0.14175599899769598,0.026145996808378813,0.1591429251283163,-0.17114859373122038,-0.1796852031262378,-0.22592079573098567
